X,Y,Z,Normalized Luminosity,Normalized Radius
898.20621,-2582.73638,3033.47936,0.00000,0.00060
718.90293,-2065.90412,2427.15390,0.00000,0.00109
488.90436,-1401.14262,1636.69411,0.00000,0.00194
146.41635,-419.91109,490.73526,0.00000,0.01933
4981.73232,-14285.34419,16680.30316,0.00011,0.00003
403.65457,-1157.42213,1351.88279,0.00000,0.00173
1294.86191,-3713.38851,4337.98279,0.00000,0.00052
259.91307,-745.54793,871.36736,0.00000,0.00254
950.29682,-2730.20279,3188.31119,0.00000,0.00075
798.40716,-2291.93946,2676.09003,0.00001,0.00113
460.12045,-1321.51785,1543.70294,0.00000,0.00130
790.45716,-2269.03615,2651.29057,0.00000,0.00108
614.17739,-1764.29467,2061.44328,0.00000,0.00119
1573.60834,-4517.92136,5277.78971,0.00000,0.00031
205.18663,-589.07087,688.61308,0.00000,0.00556
738.71381,-2120.52360,2477.67734,0.00000,0.00088
510.91377,-1466.44981,1713.50021,0.00002,0.00220
7225.12995,-20778.62270,24255.59229,0.00000,0.00003
2092.65947,-6016.44661,7024.10848,0.00000,0.00019
3271.95958,-9411.55847,10990.12723,0.00000,0.00016
861.89451,-2477.71762,2893.32122,0.00000,0.00115
616.88941,-1773.27485,2071.07545,0.00000,0.00086
335.85916,-967.00214,1129.37299,0.00000,0.00146
474.67110,-1366.58374,1595.76737,0.00000,0.00060
620.93341,-1787.29718,2086.92468,0.00000,0.00081
452.70056,-1303.06193,1521.73429,0.00000,0.00329
745.21639,-2144.00682,2504.21138,0.00000,0.00153
654.05617,-1882.14181,2198.68075,0.00000,0.00079
315.17957,-906.42037,1059.13401,0.00000,0.00646
1360.71554,-3910.50742,4567.25630,0.00000,0.00041
471.20066,-1354.69918,1583.19467,0.00001,0.00147
819.00126,-2353.18805,2750.25191,0.00000,0.00079
266.91959,-766.74435,896.32439,0.00000,0.00160
439.58343,-1262.80405,1476.23931,0.00000,0.00107
945.13173,-2716.91751,3176.02368,0.00001,0.00080
729.68274,-2100.45900,2454.62116,0.00000,0.00089
708.38281,-2038.10736,2381.51609,0.00000,0.00091
1018.83288,-2932.46848,3426.42471,0.00000,0.00055
279.94738,-805.38198,941.60063,0.00000,0.00506
391.35170,-1125.61644,1315.85734,0.00000,0.00235
396.54425,-1141.07398,1334.25403,0.00000,0.00296
763.36721,-2180.27968,2548.34824,0.00001,0.00101
298.93265,-854.13529,998.67490,0.00000,0.00245
566.02217,-1617.19757,1890.83810,0.00000,0.00227
723.95968,-2070.88787,2419.35506,0.00000,0.00117
763.91819,-2185.21229,2553.81264,0.00001,0.00094
2576.10987,-7380.28324,8622.27477,0.00000,0.00014
338.70410,-969.80435,1133.16796,0.00000,0.00502
419.62952,-1201.48558,1404.16775,0.00000,0.00173
6557.25205,-18762.93082,21924.71331,0.00000,0.00003
1144.55890,-3278.34073,3831.16563,0.00001,0.00098
511.58293,-1464.53928,1711.30487,0.00000,0.00247
555.20086,-1590.05362,1858.56472,0.00000,0.00126
1892.42857,-5409.09592,6320.59289,0.00000,0.00023
408.53261,-1168.10659,1365.58475,0.00000,0.00298
898.54323,-2570.63180,3005.04011,0.00000,0.00098
754.22085,-2157.85710,2522.46123,0.00000,0.00071
228.18002,-652.43954,763.10937,0.00000,0.01269
857.44563,-2451.21329,2867.18118,0.00000,0.00066
427.16967,-1221.41435,1428.67186,0.00000,0.00382
758.01815,-2167.02769,2533.90052,0.00002,0.00071
276.10062,-790.90775,925.03379,0.00000,0.00799
404.46997,-1157.77383,1353.60546,0.00000,0.00107
619.28421,-1772.69179,2072.90626,0.00000,0.00096
1984.94260,-5677.21003,6640.51751,0.00001,0.00018
310.29366,-887.72271,1038.56321,0.00000,0.00266
421.10428,-1201.57189,1405.88796,0.00000,0.00225
571.79094,-1630.33994,1907.51571,0.00000,0.00162
742.03566,-2119.66979,2479.28887,0.00001,0.00084
